Kode,Provinsi,Mudah,Sulit,Sangat_Sulit
0,Aceh,29.8,41.8,28.4
1,Sumatera Utara,38.8,36.7,24.5
2,Sumatera Barat,35.1,38.1,26.8
3,Riau,36.6,28,35.4
4,Jambi,25.3,32.7,41.9
5,Sumatera Selatan,24.9,33,42
6,Bengkulu,33.3,38.7,28
7,Lampung,26.6,38.1,35.3
8,Bangka Belitung,46.5,30.7,22.8
9,Kepulauan Riau,59.3,25.5,15.2
10,DKI Jakarta,52.3,31.5,16.2
11,Jawa Barat,32.3,38.2,29.5
12,Jawa Tengah,40.9,41.3,17.8
13,DI Yogyakarta,70.6,21.8,7.6
14,JawaTimur,41.3,42,16.6
15,Banten,38.4,37.9,23.7
16,Bali,60.5,29.3,10.2
17,Nusa Tenggara Barat,27.3,46.3,26.4
18,Nusa Tenggara Timur,24.5,20.9,54.6
19,Kalimantan Barat,28.4,25.6,45.9
20,Kalimantan Tengah,28.3,24.1,47.7
21,Kalimantan Selatan,39.3,39.8,20.9
22,Kalimantan Timur,43.9,27.6,28.5
23,Kalimantan Utara,39.1,33.6,27.4
24,Sulawesi Utara,35.8,34.9,29.3
25,Sulawesi Tengah,30.3,28,41.7
26,Sulawesi Selatan,29.8,43.2,27
27,Sulawesi Tenggara,27.9,36.8,35.4
28,Gorontalo,33.1,34.1,32.8
29,Sulawesi Barat,21,28.4,50.6
30,Maluku,26.8,28.6,44.7
31,Maluku Utara,31.4,26.5,42.1
32,Papua Barat,34.5,25.9,39.6
33,Papua,19.3,21.5,59.3
